
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,
0.730241,-0.0410,-0.2523,0.0076,-0.0164,-0.0048,0.0058,-36.8438,12.6000,-20.9625,126.4831,101.6475,2.2483,
0.731667,-0.0243,-0.2615,0.0108,-0.0164,-0.0048,0.0058,-36.8438,12.6000,-20.9625,126.4831,101.6475,2.2483,
0.747418,-0.0243,-0.2615,0.0108,-0.0164,-0.0048,0.0058,-36.8438,12.6000,-20.9625,126.4831,101.6476,2.2406,
0.748985,-0.0033,-0.2516,0.0075,-0.0164,-0.0048,0.0058,-36.8438,12.6000,-20.9625,126.4831,101.6476,2.2406,
0.752519,-0.0033,-0.2516,0.0075,-0.0164,-0.0048,0.0058,-36.5625,12.6563,-20.2500,126.4831,101.6476,2.2406,
0.770710,-0.0033,-0.2516,0.0075,-0.0164,-0.0048,0.0058,-36.5625,12.6563,-20.2500,126.4831,101.6419,2.2324,
0.772047,0.0409,-0.2848,-0.0060,-0.0164,-0.0048,0.0058,-36.5625,12.6563,-20.2500,126.4831,101.6419,2.2324,
0.772827,0.0409,-0.2848,-0.0060,-0.0164,-0.0048,0.0058,-36.5625,12.6563,-20.2500,126.4831,101.6419,2.2324,
0.783540,0.0409,-0.2848,-0.0060,-0.0041,0.0012,0.0070,-36.5625,12.6563,-20.2500,126.4831,101.6419,2.2324,
0.784521,0.0409,-0.2848,-0.0060,-0.0041,0.0012,0.0070,-36.5625,12.6563,-20.2500,126.4831,101.6289,2.2253,
0.786291,0.0345,-0.3057,0.0075,-0.0041,0.0012,0.0070,-36.5625,12.6563,-20.2500,126.4831,101.6289,2.2253,
0.804633,0.0345,-0.3057,0.0075,-0.0041,0.0012,0.0070,-36.5625,12.6563,-20.2500,126.4831,101.6062,2.2159,
0.806156,0.0001,-0.3262,-0.0068,-0.0041,0.0012,0.0070,-36.5625,12.6563,-20.2500,126.4831,101.6062,2.2159,
0.814191,0.0001,-0.3262,-0.0068,-0.0041,0.0012,0.0070,-37.5563,12.9938,-20.5312,126.4831,101.6062,2.2159,
0.823961,0.0001,-0.3262,-0.0068,-0.0041,0.0012,0.0070,-37.5563,12.9938,-20.5312,126.4831,101.5797,2.2073,
0.827371,-0.0057,-0.2965,-0.0166,-0.0041,0.0012,0.0070,-37.5563,12.9938,-20.5312,126.4831,101.5797,2.2073,
0.832145,-0.0057,-0.2965,-0.0166,-0.0041,0.0012,0.0070,-37.5563,12.9938,-20.5312,126.4831,101.5797,2.2073,
0.842487,-0.0057,-0.2965,-0.0166,-0.0041,0.0012,0.0070,-37.5563,12.9938,-20.5312,126.4831,101.5600,2.2024,
0.843771,0.0024,-0.2525,0.0058,-0.0041,0.0012,0.0070,-37.5563,12.9938,-20.5312,126.4831,101.5600,2.2024,
0.846194,0.0024,-0.2525,0.0058,-0.0041,0.0074,0.0058,-37.5563,12.9938,-20.5312,126.4831,101.5600,2.2024,
0.862693,0.0024,-0.2525,0.0058,-0.0041,0.0074,0.0058,-37.5563,12.9938,-20.5312,126.4831,101.5459,2.1990,
0.864116,-0.0301,-0.2231,0.0026,-0.0041,0.0074,0.0058,-37.5563,12.9938,-20.5312,126.4831,101.5459,2.1990,
0.874357,-0.0301,-0.2231,0.0026,-0.0041,0.0074,0.0058,-36.8625,12.7688,-20.3438,126.4831,101.5459,2.1990,
0.880362,-0.0301,-0.2231,0.0026,-0.0041,0.0074,0.0058,-36.8625,12.7688,-20.3438,126.4831,101.5332,2.1955,
0.881677,-0.0290,-0.2345,-0.0099,-0.0041,0.0074,0.0058,-36.8625,12.7688,-20.3438,126.4831,101.5332,2.1955,
0.894633,-0.0290,-0.2345,-0.0099,-0.0041,0.0074,0.0058,-36.8625,12.7688,-20.3438,126.4831,101.5332,2.1955,
0.899934,-0.0290,-0.2345,-0.0099,-0.0041,0.0074,0.0058,-36.8625,12.7688,-20.3438,126.4831,101.5165,2.1942,
0.901503,0.0122,-0.2961,-0.0324,-0.0041,0.0074,0.0058,-36.8625,12.7688,-20.3438,126.4831,101.5165,2.1942,
0.908673,0.0122,-0.2961,-0.0324,0.0007,-0.0023,-0.0003,-36.8625,12.7688,-20.3438,126.4831,101.5165,2.1942,
0.919209,0.0122,-0.2961,-0.0324,0.0007,-0.0023,-0.0003,-36.8625,12.7688,-20.3438,126.4831,101.4963,2.1949,
0.920297,0.0074,-0.2954,-0.0550,0.0007,-0.0023,-0.0003,-36.8625,12.7688,-20.3438,126.4831,101.4963,2.1949,
0.933996,0.0074,-0.2954,-0.0550,0.0007,-0.0023,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.4963,2.1949,
0.938515,0.0074,-0.2954,-0.0550,0.0007,-0.0023,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.4695,2.1983,
0.939861,0.0140,-0.2945,-0.0670,0.0007,-0.0023,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.4695,2.1983,
0.957348,0.0140,-0.2945,-0.0670,0.0007,-0.0023,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.4695,2.1983,
0.960526,0.0140,-0.2945,-0.0670,0.0007,-0.0023,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.4355,2.1996,
0.963526,0.0089,-0.2551,-0.0890,0.0007,-0.0023,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.4355,2.1996,
0.970950,0.0089,-0.2551,-0.0890,0.0117,-0.0060,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.4355,2.1996,
0.975837,0.0089,-0.2551,-0.0890,0.0117,-0.0060,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.3991,2.2012,
0.977249,0.0227,-0.2613,-0.0945,0.0117,-0.0060,-0.0003,-37.3500,12.6750,-20.2125,126.4831,101.3991,2.2012,
0.993266,0.0227,-0.2613,-0.0945,0.0117,-0.0060,-0.0003,-37.2375,12.6000,-20.6438,126.4831,101.3991,2.2012,
0.994756,0.0227,-0.2613,-0.0945,0.0117,-0.0060,-0.0003,-37.2375,12.6000,-20.6438,126.4831,101.3601,2.2041,
0.995809,-0.0134,-0.2170,-0.0839,0.0117,-0.0060,-0.0003,-37.2375,12.6000,-20.6438,126.4831,101.3601,2.2041,
1.014557,-0.0134,-0.2170,-0.0839,0.0117,-0.0060,-0.0003,-37.2375,12.6000,-20.6438,126.4831,101.3185,2.2078,
1.015971,-0.0208,-0.2181,-0.0857,0.0117,-0.0060,-0.0003,-37.2375,12.6000,-20.6438,126.4831,101.3185,2.2078,
1.020232,-0.0208,-0.2181,-0.0857,0.0117,-0.0060,-0.0003,-37.2375,12.6000,-20.6438,126.4831,101.3185,2.2078,
1.032965,-0.0208,-0.2181,-0.0857,0.0117,-0.0048,-0.0027,-37.2375,12.6000,-20.6438,126.4831,101.3185,2.2078,
1.034397,-0.0208,-0.2181,-0.0857,0.0117,-0.0048,-0.0027,-37.2375,12.6000,-20.6438,126.4831,101.2800,2.2120,
1.035466,0.0026,-0.2505,-0.1033,0.0117,-0.0048,-0.0027,-37.2375,12.6000,-20.6438,126.4831,101.2800,2.2120,
1.053317,0.0026,-0.2505,-0.1033,0.0117,-0.0048,-0.0027,-37.2375,12.6000,-20.6438,126.4831,101.2465,2.2167,
1.057019,0.0211,-0.2616,-0.0964,0.0117,-0.0048,-0.0027,-37.2375,12.6000,-20.6438,126.4831,101.2465,2.2167,
1.059179,0.0211,-0.2616,-0.0964,0.0117,-0.0048,-0.0027,-37.3500,12.6938,-20.3250,126.4831,101.2465,2.2167,
1.071542,0.0211,-0.2616,-0.0964,0.0117,-0.0048,-0.0027,-37.3500,12.6938,-20.3250,126.4831,101.2125,2.2226,
1.073022,0.0340,-0.2654,-0.1016,0.0117,-0.0048,-0.0027,-37.3500,12.6938,-20.3250,126.4831,101.2125,2.2226,
1.080959,0.0340,-0.2654,-0.1016,0.0117,-0.0048,-0.0027,-37.3500,12.6938,-20.3250,126.4831,101.2125,2.2226,
1.091384,0.0340,-0.2654,-0.1016,0.0117,-0.0048,-0.0027,-37.3500,12.6938,-20.3250,126.4831,101.1769,2.2290,
1.092859,-0.0052,-0.2812,-0.1236,0.0117,-0.0048,-0.0027,-37.3500,12.6938,-20.3250,126.4831,101.1769,2.2290,
1.097200,-0.0052,-0.2812,-0.1236,0.0117,0.0012,-0.0015,-37.3500,12.6938,-20.3250,126.4831,101.1769,2.2290,
1.111080,-0.0052,-0.2812,-0.1236,0.0117,0.0012,-0.0015,-37.3500,12.6938,-20.3250,126.4831,101.1398,2.2329,
1.115002,-0.0030,-0.2467,-0.1287,0.0117,0.0012,-0.0015,-37.3500,12.6938,-20.3250,126.4831,101.1398,2.2329,
1.117903,-0.0030,-0.2467,-0.1287,0.0117,0.0012,-0.0015,-37.0688,12.8813,-20.3250,126.4831,101.1398,2.2329,
1.129582,-0.0030,-0.2467,-0.1287,0.0117,0.0012,-0.0015,-37.0688,12.8813,-20.3250,126.4831,101.0999,2.2363,
1.130983,0.0062,-0.2409,-0.1175,0.0117,0.0012,-0.0015,-37.0688,12.8813,-20.3250,126.4831,101.0999,2.2363,
1.142632,0.0062,-0.2409,-0.1175,0.0117,0.0012,-0.0015,-37.0688,12.8813,-20.3250,126.4831,101.0999,2.2363,
1.148383,0.0062,-0.2409,-0.1175,0.0117,0.0012,-0.0015,-37.0688,12.8813,-20.3250,126.4831,101.0576,2.2418,
1.149925,-0.0019,-0.2589,-0.1188,0.0117,0.0012,-0.0015,-37.0688,12.8813,-20.3250,126.4831,101.0576,2.2418,
1.157442,-0.0019,-0.2589,-0.1188,0.0177,0.0085,-0.0003,-37.0688,12.8813,-20.3250,126.4831,101.0576,2.2418,
1.168263,-0.0019,-0.2589,-0.1188,0.0177,0.0085,-0.0003,-37.0688,12.8813,-20.3250,126.4831,101.0150,2.2469,
1.169864,0.0021,-0.2554,-0.1274,0.0177,0.0085,-0.0003,-37.0688,12.8813,-20.3250,126.4831,101.0150,2.2469,
1.172615,0.0021,-0.2554,-0.1274,0.0177,0.0085,-0.0003,-37.2563,12.6750,-20.3250,126.4831,101.0150,2.2469,
1.187392,0.0021,-0.2554,-0.1274,0.0177,0.0085,-0.0003,-37.2563,12.6750,-20.3250,126.4831,100.9703,2.2502,
1.191011,-0.0171,-0.2565,-0.1174,0.0177,0.0085,-0.0003,-37.2563,12.6750,-20.3250,126.4831,100.9703,2.2502,
1.205358,-0.0171,-0.2565,-0.1174,0.0177,0.0085,-0.0003,-37.2563,12.6750,-20.3250,126.4831,100.9703,2.2502,
1.206500,-0.0171,-0.2565,-0.1174,0.0177,0.0085,-0.0003,-37.2563,12.6750,-20.3250,126.4831,100.9241,2.2539,
1.207594,-0.0313,-0.2289,-0.1622,0.0177,0.0085,-0.0003,-37.2563,12.6750,-20.3250,126.4831,100.9241,2.2539,
1.219023,-0.0313,-0.2289,-0.1622,0.0142,0.0135,-0.0003,-37.2563,12.6750,-20.3250,126.4831,100.9241,2.2539,
1.225301,-0.0313,-0.2289,-0.1622,0.0142,0.0135,-0.0003,-37.2563,12.6750,-20.3250,126.4831,100.8836,2.2591,
1.226643,-0.0316,-0.2064,-0.1338,0.0142,0.0135,-0.0003,-37.2563,12.6750,-20.3250,126.4831,100.8836,2.2591,
1.233222,-0.0316,-0.2064,-0.1338,0.0142,0.0135,-0.0003,-37.6125,12.1688,-19.8000,126.4831,100.8836,2.2591,
1.244268,-0.0316,-0.2064,-0.1338,0.0142,0.0135,-0.0003,-37.6125,12.1688,-19.8000,126.4831,100.8477,2.2642,
1.247863,0.0324,-0.2104,-0.1456,0.0142,0.0135,-0.0003,-37.6125,12.1688,-19.8000,126.4831,100.8477,2.2642,
1.262799,0.0324,-0.2104,-0.1456,0.0142,0.0135,-0.0003,-37.6125,12.1688,-19.8000,126.4831,100.8099,2.2693,
1.264094,-0.0091,-0.2214,-0.1267,0.0142,0.0135,-0.0003,-37.6125,12.1688,-19.8000,126.4831,100.8099,2.2693,
1.267015,-0.0091,-0.2214,-0.1267,0.0142,0.0135,-0.0003,-37.6125,12.1688,-19.8000,126.4831,100.8099,2.2693,
1.281342,-0.0091,-0.2214,-0.1267,0.0166,0.0085,0.0010,-37.6125,12.1688,-19.8000,126.4831,100.8099,2.2693,
1.282406,-0.0091,-0.2214,-0.1267,0.0166,0.0085,0.0010,-37.6125,12.1688,-19.8000,126.4831,100.7692,2.2731,
1.283451,-0.0261,-0.2419,-0.1040,0.0166,0.0085,0.0010,-37.6125,12.1688,-19.8000,126.4831,100.7692,2.2731,
1.293288,-0.0261,-0.2419,-0.1040,0.0166,0.0085,0.0010,-37.2563,13.0125,-20.9438,126.4831,100.7692,2.2731,
